,Title,Artist,Album,Audio_Filename,Lyrics,Category,Cluster
10,I Know You Got Soul,"Byrd, Bobby",Bobby Byrd Got Soul: The Best of Bobby Byrd,015.mp3,"It's been a long time, I shouldn't have left you
Without a strong rhyme to step to
Think of how many weak shows you slept through
Time's up, I'm sorry I kept you
Thinking of this, you keep repeating you miss
The rhymes from the microphone soloist
And you sit by the radio, hand on the dial, soon
As you hear it, pump up the volume
Dance wit the speaker 'till you hear it blow,
Then plug in the headphone 'cause here it go
It's a 4 letter word when it's heard, it control
your body to dance (You got it) soul,
Ditects the tempo like a red alert
Reaches your reflex, so let it work
When this is playing, you can't get stuck wit
The steps, so get set and I'm a still come up wit
A gift to be swift, follow the leader, the rhyme will go
Def wit the record that was mixed a long time ago
It can be done but only I can do it
For those that can dance and clap your hands to it
I start to think and then I sink
Into the paper like I was ink
When I'm writing, I'm trapped in between the lines,
I escape when I finish the rhyme...
I got soul

You got it (4x)
I know you got soul

Picture a mic, the stage is empty
A beat like this might tempt me
To pose, show my rings and my fat gold chain
Grab the mic like I'm on Soul Train
But I'll wait 'cause I mastered this
Let the others go first so the brothers don't miss
Eric B. break the sticks (you got it)
Rakim will begin when you make the mix
I'll experiment like a scientist
You wanna rhyme, you gotta sign my list
'Cause I'm a manifest and bless the mic I hold
You want it next? then you gotta have soul
'Cause if you ain't got it, I'm a make an encore
Take the mic, make the people respond for
The R, 'cause that's the way it'll have to be
If you wanna get on after me
Think about it, wait, erase your rhyme

Forget it and don't waste your time
'Cause I'll be in the crowd if you ain't controlling it
Drop the mic, you shouldn't be holding it
This is how it should be done
This style is identical to none
Some try to make it sound like this but you're getting me
So upset that I'm wet 'cause you're sweating me
I drip steam like a microphone fiend
Eager to MC is my theme
I get hype when I hear a drum roll
Rakim is on the mic and you know I got soul

You got it (5x)

I got soul (you got it) that's why I came
To teach those who can't say my name
First of all, I'm the soloist, the soul controller
Rakim gets stronger as I get older
Constant elevation causes expansion
I write my rhyme while I cool in my mansion
Then put it on tape and in the city I test it
Then on the radio the R's requested
You listen to it, the concept might break you
'Cause almost anyone can relate to...
Whoever's out of hand, I'm give him handles
Light 'em up, blow 'em out like candles
Or should I just let him melt?
Then give him a hand so they can see how it felt
I'm not bold just cuz I rock gold
Rakim is on the mic and you know I got soul

You got it (4x)

Now I'm a stop to see what you got
Get off the mic before I get too hot
I want to see which posse can dance the best
It should be easy 'cause the beat is fresh
Now if your from Uptown, Brooklyn- bound,
The Bronx, Queens, or Long Island Sound,
Even other states come right and exact,
It ain't where you're from, it's where you're at
Since you came here, you have to show and prove
And do that dance until it don't move
'Cause all you need is soul self-esteem will release,
The rest is up to you, Rakim 'll say peace

You got it (10x)
 ",Boisterous,Cluster 1
11,I Put a Spell on You,"Hawkins, Screamin' Jay",Voodoo Jive: The Best of Screamin' Jay Hawkins,016.mp3,"I put a spell on you
Because you're mine
Stop the things you do
Watch out, I ain't lyin'

Yeah, I can't stand it
You're runnin' around
I can't stand it
No, put me down

I put a spell on you
Because you're mine, oh yeah
Stop the things you do
Watch out, I ain't lyin'

I love you, I love you
I love you, I love you anyhow
And I don't care if you don't want me
I'm yours right now

I put a spell on you
Because you're mine
 ",Boisterous,Cluster 1
12,Insane in the Brain,Cypress Hill,Black Sunday,017.mp3,"Who you tryin' ta mess with ese?
Don't you know I'm loco?

To da one on da flam
Boy it's tough
I just toss that ham in the fryin' pan
Like spam
It's done when I come in
Slam
Damn, I feel like the Son of Sam
Don't make me wrek ya hectic
Automatic got me goin' like Gen'ral Electric
Damn
The lights are blinking I'm thinking
It's all over when I go out drinking
Oh
Makin' my mind slow,
That's why I don't fuck wit da big four-oh
Bro
I got ta' maintain
'cause a nigga like me is goin' insane

[Chorus: x4]
Insane in the membrane
Insane in the brain!

Do my shit undercover
Now it's time for for the blubber
Blabber
To watch dat belly get fatter
Fat boy on a diet
Don't try it
I'll check your ass like a looter in a riot
Much too fast like a sumo slammin' dat ass
Leavin' your face in the grass
You know
I don't take a chulo
Lightly
Bitch just jealous 'cause he can't outwrite me
So kick that style, wicked
Wild
Happy face nigga never seen me smile
Whip dat mainframe
I'll explain
A nigga like me is goin' insane

[Chorus: x4]

Like Louie Armstrong
Play the trumpet, I'll hit dat bong
And break ya off somethin' soon
I got ta get my props
Cops
Come and try ta' snatch my crops
These pigs want to blow my house down
Head underground
To the next town
They get mad when they come to raid my pad
And I'm off in the night blue scad
Yes I'm the pirate
Pilot
Of this ship if I get wit' the ultraviolet dream
Hide from the red light beam
Now do you believe in the unseen
Look
But don't make ya' eyes strain
A nigga like me is goin' insane

[Chorus: x4]
 ",Boisterous,Cluster 1
13,Let's Spend the Night Together,Rolling Stones,"Hot Rocks, 1964-1971",019.mp3,"My, My, My, My
Don't you worry 'bout what's on your mind (Oh my)
I'm in no hurry I can take my time (Oh my)
I'm going red and my tongue's getting tied (tongues' getting tied)
I'm off my head and my mouth's getting dry.
I'm high, But I try, try, try (Oh my)
Let's spend the night together
Now I need you more than ever
Let's spend the night together now

I feel so strong that I can't disguise (oh my)
Let's spend the night together
But I just can't apologize (oh no)
Let's spend the night together
Don't hang me up and don't let me down (don't let me down)
We could have fun just groovin' around around and around
Oh my, my
Let's spend the night together
Now I need you more than ever
Let's spend the night together

Let's spend the night together
Now I need you more than ever

You know I'm smiling baby
You need some guiding baby
I'm just deciding baby; now-
I need you more than ever
Let's spend the night together
Let's spend the night together now

This doesn't happen to me ev'ryday (oh my)
Let's spend the night together
No excuses offered anyway (oh my)
Let's spend the night together
I'll satisfy your every need (every need)
And I now know you will satisfy me
Oh my, my, my, my, my
Let's spend the night together
Now I need you more than ever
Let's spend the night together now
 ",Boisterous,Cluster 1
14,Lucille,Little Richard,Georgia Peach,020.mp3,"Lucille, you won't do your sisters will,
Lucille, you won't do your sisters will,
You ran off and married, but I love you still.

Lucille, please come back where you belong,
Lucille, please come back where you belong,
I've been good to you baby, please don't lead me along.

I woke up this mornin', Lucille was not in sight,
I asked my friends about her but all their lips was tight,
Lucille, please come back where you belong,
I've been good to you baby, please don't lead me along.

Lucille, baby, satisfy my heart,
Lucille, baby, satisfy my heart,
I played love with you baby, and gave you such a wonderful start.
 
",Boisterous,Cluster 1
15,Lust for Life,"Pop, Iggy",Lust for Life,021.mp3,"Here comes Johnny Yen again
With the liquor and drugs
And the flesh machine
He's gonna do another striptease
Hey man where'd you get
That lotion? I been hurting
Since I bought the gimmick
About something called love
Yeah something called love
That's like hypnotizing chickens
Well I am just a modern guy
Of course I've had it in the ear before
'Cause of a lust for life
'Cause of a lust for life
I'm worth a million in prizes
With my torture film
Drive a G.T.O.
Wear a uniform
All on a government loan
I'm worth a million in prizes
Yeah I'm through with sleeping on the
Sidewalk - no more beating my brains
With the liquor and drugs
With the liquor and drugs
Well I am just a modern guy
Of course I've had it in the ear before
'Cause of a lust for life
'Cause of a lust for life
I got a lust for life
Got a lust for life
Oh a lust for life
Oh a lust for life
A lust for life
I got a lust for life
I got a lust for life
Well I am just a modern guy
Of course I've had it in the ear before
'Cause of a lust for life
'Cause of a lust for life
'Cause of a lust for life
Here comes Johnny Yen again
With the liquor and drugs
And the flesh machine
He's gonna do another striptease
Hey man where'd you get
That lotion? Your skin starts
Itching once you buy the gimmick
About something called love
Oh love love love
That's like hypnotizing chickens
Well I am just a modern guy
Of course I've had it in the ear before
'Cause of a lust for life
'Cause of a lust for life
Got a lust for life
Yeah a lust for life
I got a lust for life
Oh a lust for life
I got a lust for life
Yeah a lust for life
I got a lust for life
A lust for life
Lust for life, lust for life
 ",Boisterous,Cluster 1
16,Neat Neat Neat,Damned,Damned Damned Damned,022.mp3,"be a man ,can a mystery man,
be a doll,be a baby doll,
it can't be fun not any way,
there can be found no way at all
a distant man can't sympathise,
can't uphold his distant laws,
due to form on that today,
i got a feeling then i hear that call,i said

(chorus)

neat neat neat,she can't afford a cannon,
neat neat neat,she can't afford a gun at all,
neat neat neat,she can't afford a cannon,
neat neat neat,she can't afford a gun at all,
neat neat neat 

no crime if there aint no law,
no more cops left to mess you around,
no more dreams of mystery chords,
no more sight to bring you down,
i got a crazy,got a thought in my mind,
my mind's on when she falls asleep,
feelin' fine in her restless time,
then these words upon me creep,i said

(repeat chorus)

(solo bit) 

(repeat 1st verse)

(repeat chorus twice)
 ",Boisterous,Cluster 1
17,Saturday Night Fish Fry,"Jordan, Louis [1]",Best of Louis Jordan [MCA],024.mp3,"Now if you've ever been down to New Orleans
Then you can understand just what i mean
All thru the week it's quiet as a mouse
But on saturday night they go from house to house
You don't have to pay the usual admission
If you're a cook, a waiter or a good musician
So if you happen to be just passin' by
Stop in at the saturday night fish fry

It was rockin', it was rockin'
You never seen such scufflin'
And shufflin' 'till the break of dawn
It was rockin', it was rockin'
You never seen such scufflin'
And shufflin' 'till the break of dawn

Now my buddy and me was on the main stem
Foolin' around just me and him
We decided we could use a little something to eat
So we went to a house on rampart street
We knocked on the door and it opened up with ease
And a lush little miss said, ""come in, please""
And before we could even bat an eye
We were right in the middle of a big fish fry

It was rockin', it was rockin'
You never seen such scufflin'
And shufflin' 'till the break of dawn
It was rockin', it was rockin'
You never seen such scufflin'
And shufflin' 'till the break of dawn

Now the folks was havin' the time of their life
And sam was jivin' jimmie's wife
Over in the corner was a beat up grand
Being played by a big fat piano man
Some of the chicks wore expensive frocks
Some of them had on bobbie socks
But everybody was nice and high
At this particular saturday night fish fry

It was rockin', it was rockin'
You never seen such scufflin'
And shufflin' 'till the break of dawn
It was rockin', it was rockin'
You never seen such scufflin'
And shufflin' 'till the break of dawn

Now the women were screamin' and jumpin' and yellin'
 ",Boisterous,Cluster 1
18,"Shake, Rattle and Roll","Turner, Big Joe [50s]",Very Best of Big Joe Turner,025.mp3,"Get outta that bed, wash your face and hands
Get outta that bed, wash your face and hands
Well, you get in that kitchen, make some noise with the pots 'n pans

Way you wear those dresses, the sun comes shinin' through
Way you wear those dresses, the sun comes shinin' through
I can't believe my eyes, all that mess belongs to you

I believe to the soul you're the devil and now I know
I believe to the soul you're the devil and now I know
Well, the more I work, the faster my money goes

I said shake, rattle and roll, shake, rattle and roll
Shake, rattle and roll, shake, rattle and roll
Well, you won't do right to save your doggone soul

Yeah, blow Joe!

I'm like a one-eyed cat peepin' in a seafood store
I'm like a one-eyed cat peepin' in a seafood store
Well I can look at you till you ain't no child no more

Ah, shake, rattle and roll, shake, rattle and roll
Shake, rattle and roll, shake, rattle and roll
Well, you won't do right to save your doggone soul

I get over the hill and way down underneath
I get over the hill and way down underneath
You make me roll my eyes, even make me grit my teeth

I said shake, rattle and roll, shake, rattle and roll
Shake, rattle and roll, shake, rattle and roll
Well, you won't do nothin' to save your doggone soul

Shake, rattle and roll!
 
",Boisterous,Cluster 1
19,Talk Dirty to Me,Poison,Poison's Greatest Hits 1986-1996,027.mp3,"You know I never, I've never seen you look so good
You never act the way you should
But I like it
And I know you like it too
The way that I want you
I've gotta have you
Oh yes I do
I never, I never ever stay out late
You know that I can hardly wait
Just to see you
And I know you cannot wait
Wait to see me too
I've got to touch you
Cause baby we'll be

[Chorus]
At the drive in
In the old man's Ford
Behind the bushes
Til I'm screamin' for more
Down in the basement
Lock the cellar door
And baby
Talk dirty to me!

You know I call you, I call you on the telephone
I'm only hopin' that you're home
So I can hear you
When you say those words to me
And whisper so softly
I've gotta hear you
Cause baby we'll be

[Chorus]

C.C. Pick a bad guitar, and-a-talk to me, yeah

Whoo!  Whoo!  Whoo!  Whoo!

Cause baby we'll be

At the drive in
In the old man's Ford
Behind them, bushes
Til I'm screamin' for more, more, more!
Down in the basement
And lock the cellar door
And baby, talk dirty to me, yeah
And baby, talk dirty to me yeah
And baby
Talk dirty to me

Uh!
Whoo!
That's the way I like it, baby
Ooh, yeah
 ",Boisterous,Cluster 1
20,Joint Is Jumpin',"Waller, Fats",Greatest Hits [RCA],028.mp3,"They have a new expression along old Harlem way, 
That tells you when a party is ten times more than gay: 
To say that things are jumpin' leaves not a single doubt, 
That everthing is in full swing when you hear someone shout. 
Here 'tis: 

The joint is jumpin', 
It's really jumpin', 
Come in, cats, and check your hats, 
I mean this joint is jumpin'! 

The piano's thumpin', 
The dancers are bumpin', 
This here spot is more than hot, 
In fact, the joint is jumpin'! 

Check your weapons at the door, 
Be sure to pay your quarter, 
Burn your leather on the floor, 
Grab anybody's daughter. 

The roof is rockin', 
The neighbors knockin', 
We're all bums when the wagon comes, 
I mean, this joint is jumpin'! 

[Spoken] 
Let it be! Yas! 
Burn this joint, boy! 
Yas! 
Oh, my! Yas! 
Don't you hit that chick, that's my broad! 
Where'd you get that stuff at? 
Why, I'll knock you to your knees! 
What? 
Put this cat out of here! 
What? 
Get rid of that pistol! Get rid of that pistol! Yeah! Get rid of it, yas! 
Yeah! 
That's what I'm talkin' about! Ha, ha! Yas! 
Now it's really ready! 
No, baby, not now, I can't come over there right now. 
Yeah, let's do it! 
[Party noises and shouting] 

The joint is jumpin', 
It's really jumpin'! 
Every Mose is on his toes, 
I mean this joint is jumpin'! 

[Police whistle] 

Uh-oh! No time for talkin', 
This place is walkin', yes, 
Get your jug and cut the rug, 
I think the joint is jumpin'. 
Listen! 

Get your pig feet, bread and gin, 
There's plenty in the kitchen! 
Who is that that just came in? 
Just look at the way he's switchin'! 

[Spoken] 
Aw, mercy, 
Don't mind the hour, 
I'm in power. 
I've got bail if we go to jail. 
I mean this joint is jumpin'! 
Don't give your right name, no, no, no, no!
 ",Boisterous,Cluster 1
21,Walking the Dog,"Thomas, Rufus",Walking the Dog,029.mp3,"Baby's back, dressd in black,
silver buttons all down her back.
High, low, tipsy toe,
she broke a needle and she can't sew.
Walkin' the dog,
just a-walkin' her dog.
If you don't know how to do it,
I'll show you how the walk the dog.

Asked the fellow for fifteen cents,
see the fellow he jumped the fence.
Jumped so high he touched the sky,
never got back till the fourth of July.
Walkin' the dog,
just a-walkin' her dog.
If you don't know how to do it,
I'll show you how the walk the dog.
 ",Boisterous,Cluster 1
22,Wang Dang Doodle,"Taylor, Koko",What It Takes: The Chess Years,030.mp3,"Tell Automatic Slim , tell Razor Totin' Jim
Tell Butcher Knife Totin' Annie, tell Fast Talking Fanny
A we gonna pitch a ball, a down to that union hall
We gonna romp and tromp till midnight
We gonna fuss and fight till daylight
We gonna pitch a wang dang doodle all night long
All night long, All night long, All night long

Tell Kudu-Crawlin' Red, tell Abyssinian Ned
Tell ol' Pistol Pete, everybody gonna meet
Tonight we need no rest, we really gonna throw a mess
We gonna to break out all of the windows,
we gonna kick down all the doors
We gonna pitch a wang dang doodle all night long
All night long, All night long, All night long

Tell Fats and Washboard Sam, that everybody gonna to jam
Tell Shaky and Boxcar Joe, we got sawdust on the floor
Tell Peg and Caroline Dye, we gonna have a time
When the fish scent fill the air, there'll be snuff juice everywhere
We gonna pitch a wang dang doodle all night long
All night long, All night long etc.

by Willie Dixon
 ",Boisterous,Cluster 1
